Acratocnus ye,Pilosans of the Caribbean,https://en.wikipedia.org/wiki/Pilosans_of_the_Caribbean,"The mammalian order Pilosa, which includes the sloths and anteaters, includes various species from the Caribbean region. Many species of sloths are known from the Greater Antilles, all of which became extinct over the last millennia, but some sloths and anteaters survive on islands closer to the mainland.
For the purposes of this article, the ""Caribbean"" includes all islands in the Caribbean Sea (except for small islets close to the mainland) and the Bahamas, Turks and Caicos Islands, and Barbados, which are not in the Caribbean Sea but biogeographically belong to the same Caribbean bioregion."
Agalmaceros blicki,Agalmaceros,https://en.wikipedia.org/wiki/Agalmaceros,"Agalmaceros is an extinct genus of deer of the Cervidae family, that lived in South America during the Pleistocene. The type species is A. blicki. Remains have only been found in Ecuador."
Alces scotti,alces_scotti,,
Alouatta seniculus,Venezuelan red howler,https://en.wikipedia.org/wiki/Venezuelan_red_howler,"The Venezuelan red howler (Alouatta seniculus) is a South American species of howler monkey, a type of New World monkey, found in the western Amazon Basin in Venezuela, Colombia, Ecuador, Peru and Brazil. The population in the Santa Cruz Department in Bolivia was split off as a separate species, the Bolivian red howler, in 1986, and more recently, splitting off the population in northeastern South America and Trinidad as the Guyanan red howler has occurred. All howler monkeys belong to the family Atelidae and the infraorder Platyrrhini (New World monkeys)."
Amblyrhiza inundata,Blunt-toothed giant hutia,https://en.wikipedia.org/wiki/Blunt-toothed_giant_hutia,The blunt-toothed giant hutia (Amblyrhiza inundata) is an extinct species of giant hutia from Anguilla and Saint Martin that is estimated to have weighed between 50 and 200 kg (110 and 440 lb). It was discovered by Edward Drinker Cope in 1868 in a sample of phosphate sediments mined in an unknown cave (possibly Cavannagh Cave) in Anguilla and sent to Philadelphia to estimate the value of the sediments. It is the sole species of the genus Amblyrhiza in the fossil family Heptaxodontidae.
Antidorcas australis,Gondolin Cave,https://en.wikipedia.org/wiki/Gondolin_Cave,"Gondolin Cave is a fossiliferous dolomitic paleocave system in the Northwest Province, South Africa. The paleocave formed in the Eccles Formation dolomites (Malmani Subgroup, Chuniespoort Group carbonate-banded iron formation marine platform). Gondolin is currently the only described hominin-bearing fossil site in the Northwest Province-portion of the designated Cradle of Humankind UNESCO World Heritage Site."
Antidorcas bondi,"Cornelia, Free State","https://en.wikipedia.org/wiki/Cornelia,_Free_State","Cornelia is a small town in the Free State province of South Africa. In 1875 D.J. Steyn bought the farm ""Mooiheid"" and J.D. Odendaal bought the farm ""Sugarloaf"" (known as Tafelkop) for a sum of R2000. They settled there in 1876."
Antifer ultra,,,
Antillothrix bernensis,Hispaniola monkey,https://en.wikipedia.org/wiki/Hispaniola_monkey,"The Hispaniola monkey (Antillothrix bernensis) is an extinct primate found on the island of Hispaniola. The species is thought to have gone extinct around the 16th century. The exact timing and cause of the extinction are unclear, but it is likely related to the settlement of Hispaniola by the Europeans in 1492 after discovery by Christopher Columbus."
Archaeoindris fontoynonti,Archaeoindris,https://en.wikipedia.org/wiki/Archaeoindris,"Archaeoindris fontoynontii is an extinct giant lemur and the largest primate known to have evolved on Madagascar, comparable in size to a male gorilla. It belonged to a family of extinct lemurs known as ""sloth lemurs"" (Palaeopropithecidae), and because of its extremely large size, it has been compared to the ground sloths that once roamed North and South America. It was most closely related to Palaeopropithecus, the second largest type of sloth lemur."
